tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000125775	61.1262	91.3615	78.383	72.3452	47.0585	77.0604	91.0413	112.407	31.1669	29.078
ENSG00000125779	1551.44	1856.71	1294.09	1471.62	1333.87	1358.83	1119.48	1138.03	1285.1	1322.2
ENSG00000125780	0.970257	0.906155	1.23013	0	4.34484	0.912581	1.17101	4.08994	0	0
ENSG00000125787	0	0.906155	0	0	2.89656	7.30065	2.34202	1.02249	8.42	6.28623
ENSG00000125788	0	0	0	0	0	0	0	0	0	0
ENSG00000125798	122.252	122.331	2336.01	2854.46	1565.59	1412.68	118.272	4.08994	2.105	36.6697
ENSG00000125810	2.91077	4.53077	6.15063	0	89.0692	182.516	213.124	171.778	6580.23	5014.32
ENSG00000125812	593.797	761.17	579.389	649.01	977.589	1089.62	946.175	1139.05	1353.52	1021.51
ENSG00000125813	0	0	0	0	87.6209	220.845	0	0	0	560.522
ENSG00000125814	580.214	469.388	557.247	569.117	595.243	708.163	599.557	651.323	638.868	700.915
ENSG00000125815	0	0	0	0	0	0	0	0	0	0
ENSG00000125816	5.82154	2.71846	0	0	2.89656	2.73774	0	0	0	0
ENSG00000125817	1450.53	2302.54	1562.26	1663.95	1981.97	1809.65	2155.83	2130.86	2609.15	1744.43
ENSG00000125818	1452.47	1619.3	1212.9	1190.51	1236.83	1267.58	2267.07	2232.09	2401.81	1909.97
ENSG00000125820	0.970257	1.81231	31.9833	64.112	25.3449	39.241	0	0	0	0
ENSG00000125821	1798.13	1749.78	1537.66	1355.23	1193.44	1045.82	939.365	1129.07	636.854	573.466
ENSG00000125823	0	0	0	0.986338	0	0	0	0	0	0
ENSG00000125826	1163.34	1145.38	1189.53	1388.76	905.899	776.607	1535.19	1517.37	1630.32	1335.82
ENSG00000125827	612.232	663.305	897.992	970.556	2391.83	2064.26	6332.82	4449.86	4444.71	3698.4
ENSG00000125831	0.970257	2.71846	0	2.95901	0	0.912581	0	0	0	0
ENSG00000125834	3490.01	3739.7	3590.74	3506.43	3224.59	3248.79	1619.51	1484.65	1617.69	1385.07
ENSG00000125835	8953.53	10924.6	6996.94	6146.86	6621.75	6769.22	2277.22	2364.68	2669.62	2071.47
ENSG00000125841	415.27	473.013	562.167	553.336	781.347	712.726	1763.54	1978.51	908.308	663.198
ENSG00000125843	79.5611	147.703	153.766	150.91	173.069	147.838	544.519	518.4	674.653	506.042
